,MPIO_CCDGO,name
1,25483,Cundinamarca
2,25513,Cundinamarca
3,25506,Cundinamarca
4,25491,Cundinamarca
5,25489,Cundinamarca
6,25488,Cundinamarca
7,25486,Cundinamarca
8,25530,Cundinamarca
9,25535,Cundinamarca
10,25572,Cundinamarca
11,25580,Cundinamarca
12,25592,Cundinamarca
13,25594,Cundinamarca
14,25596,Cundinamarca
15,25524,Cundinamarca
16,25518,Cundinamarca
17,25599,Cundinamarca
18,25612,Cundinamarca
19,25645,Cundinamarca
20,25649,Cundinamarca
21,25653,Cundinamarca
22,25658,Cundinamarca
23,25662,Cundinamarca
24,25718,Cundinamarca
25,25736,Cundinamarca
26,25740,Cundinamarca
27,25743,Cundinamarca
28,25745,Cundinamarca
29,25754,Cundinamarca
30,25099,Cundinamarca
31,25095,Cundinamarca
32,25086,Cundinamarca
33,25053,Cundinamarca
34,25040,Cundinamarca
35,25035,Cundinamarca
36,25148,Cundinamarca
37,25151,Cundinamarca
38,25154,Cundinamarca
39,25168,Cundinamarca
40,25175,Cundinamarca
41,25178,Cundinamarca
42,25019,Cundinamarca
43,25126,Cundinamarca
44,25001,Cundinamarca
45,25123,Cundinamarca
46,25120,Cundinamarca
47,25181,Cundinamarca
48,25183,Cundinamarca
49,25200,Cundinamarca
50,25214,Cundinamarca
51,25224,Cundinamarca
52,25245,Cundinamarca
53,25258,Cundinamarca
54,25260,Cundinamarca
55,25269,Cundinamarca
56,25279,Cundinamarca
57,25281,Cundinamarca
58,25286,Cundinamarca
59,25793,Cundinamarca
60,25785,Cundinamarca
61,25781,Cundinamarca
62,25823,Cundinamarca
63,25839,Cundinamarca
64,25841,Cundinamarca
65,25779,Cundinamarca
66,25817,Cundinamarca
67,25777,Cundinamarca
68,25815,Cundinamarca
69,25772,Cundinamarca
70,25807,Cundinamarca
71,25862,Cundinamarca
72,25867,Cundinamarca
73,25871,Cundinamarca
74,25873,Cundinamarca
75,25875,Cundinamarca
76,25878,Cundinamarca
77,25769,Cundinamarca
78,25805,Cundinamarca
79,25851,Cundinamarca
80,25899,Cundinamarca
81,25758,Cundinamarca
82,25799,Cundinamarca
83,25845,Cundinamarca
84,25898,Cundinamarca
85,25797,Cundinamarca
86,25843,Cundinamarca
87,25885,Cundinamarca
88,25312,Cundinamarca
89,25307,Cundinamarca
90,25299,Cundinamarca
91,25297,Cundinamarca
92,25295,Cundinamarca
93,25293,Cundinamarca
94,25290,Cundinamarca
95,25288,Cundinamarca
96,25320,Cundinamarca
97,25322,Cundinamarca
98,25324,Cundinamarca
99,25326,Cundinamarca
100,25328,Cundinamarca
101,25335,Cundinamarca
102,25339,Cundinamarca
103,25368,Cundinamarca
104,25317,Cundinamarca
105,25372,Cundinamarca
106,25377,Cundinamarca
107,25386,Cundinamarca
108,25394,Cundinamarca
109,25398,Cundinamarca
110,25402,Cundinamarca
111,25407,Cundinamarca
112,25426,Cundinamarca
113,25430,Cundinamarca
114,25436,Cundinamarca
115,25438,Cundinamarca
116,25473,Cundinamarca
117,11001,"Bogotá, D.C."
118,15001,Boyacá
119,15022,Boyacá
120,15047,Boyacá
121,15051,Boyacá
122,15087,Boyacá
123,15090,Boyacá
124,15092,Boyacá
125,15097,Boyacá
126,15104,Boyacá
127,15106,Boyacá
128,15109,Boyacá
129,15114,Boyacá
130,15131,Boyacá
131,15135,Boyacá
132,15162,Boyacá
133,15172,Boyacá
134,15176,Boyacá
135,15183,Boyacá
136,15185,Boyacá
137,15187,Boyacá
138,15189,Boyacá
139,15204,Boyacá
140,15212,Boyacá
141,15215,Boyacá
142,15377,Boyacá
143,15380,Boyacá
144,15401,Boyacá
145,15403,Boyacá
146,15542,Boyacá
147,15550,Boyacá
148,15572,Boyacá
149,15580,Boyacá
150,15755,Boyacá
151,15757,Boyacá
152,15759,Boyacá
153,15761,Boyacá
154,15842,Boyacá
155,15861,Boyacá
156,15879,Boyacá
157,15897,Boyacá
158,15218,Boyacá
159,15224,Boyacá
160,15226,Boyacá
161,15232,Boyacá
162,15236,Boyacá
163,15238,Boyacá
164,15244,Boyacá
165,15248,Boyacá
166,15272,Boyacá
167,15276,Boyacá
168,15293,Boyacá
169,15296,Boyacá
170,15299,Boyacá
171,15317,Boyacá
172,15322,Boyacá
173,15325,Boyacá
174,15362,Boyacá
175,15367,Boyacá
176,15368,Boyacá
177,15407,Boyacá
178,15425,Boyacá
179,15442,Boyacá
180,15455,Boyacá
181,15464,Boyacá
182,15466,Boyacá
183,15469,Boyacá
184,15476,Boyacá
185,15480,Boyacá
186,15491,Boyacá
187,15494,Boyacá
188,15500,Boyacá
189,15507,Boyacá
190,15511,Boyacá
191,15514,Boyacá
192,15516,Boyacá
193,15518,Boyacá
194,15522,Boyacá
195,15531,Boyacá
196,15533,Boyacá
197,15537,Boyacá
198,15599,Boyacá
199,15600,Boyacá
200,15621,Boyacá
201,15632,Boyacá
202,15638,Boyacá
203,15646,Boyacá
204,15660,Boyacá
205,15664,Boyacá
206,15667,Boyacá
207,15673,Boyacá
208,15676,Boyacá
209,15681,Boyacá
210,15686,Boyacá
211,15690,Boyacá
212,15693,Boyacá
213,15696,Boyacá
214,15720,Boyacá
215,15723,Boyacá
216,15740,Boyacá
217,15753,Boyacá
218,15762,Boyacá
219,15763,Boyacá
220,15764,Boyacá
221,15774,Boyacá
222,15776,Boyacá
223,15778,Boyacá
224,15790,Boyacá
225,15798,Boyacá
226,15804,Boyacá
227,15806,Boyacá
228,15808,Boyacá
229,15810,Boyacá
230,15814,Boyacá
231,15816,Boyacá
232,15820,Boyacá
233,15822,Boyacá
234,15832,Boyacá
235,15835,Boyacá
236,15837,Boyacá
237,15839,Boyacá
238,23001,Córdoba
239,23068,Córdoba
240,23079,Córdoba
241,23090,Córdoba
242,23162,Córdoba
243,23168,Córdoba
244,23182,Córdoba
245,23189,Córdoba
246,23300,Córdoba
247,23350,Córdoba
248,23417,Córdoba
249,23419,Córdoba
250,23464,Córdoba
251,23500,Córdoba
252,23555,Córdoba
253,23570,Córdoba
254,23574,Córdoba
255,23586,Córdoba
256,23660,Córdoba
257,23670,Córdoba
258,23672,Córdoba
259,23675,Córdoba
260,23678,Córdoba
261,23682,Córdoba
262,23686,Córdoba
263,23815,Córdoba
264,23855,Córdoba
265,08001,Atlántico
266,08078,Atlántico
267,08137,Atlántico
268,08141,Atlántico
269,08296,Atlántico
270,08372,Atlántico
271,08421,Atlántico
272,08433,Atlántico
273,08436,Atlántico
274,08520,Atlántico
275,08549,Atlántico
276,08558,Atlántico
277,08560,Atlántico
278,08573,Atlántico
279,08606,Atlántico
280,08634,Atlántico
281,08638,Atlántico
282,08675,Atlántico
283,08685,Atlántico
284,08758,Atlántico
285,08770,Atlántico
286,08832,Atlántico
287,08849,Atlántico
288,88001,"Archipiélago de San Andrés, Providencia y Santa Catalina"
289,88564,"Archipiélago de San Andrés, Providencia y Santa Catalina"
290,05001,Antioquia
291,05101,Antioquia
292,05107,Antioquia
293,05113,Antioquia
294,05120,Antioquia
295,05093,Antioquia
296,05091,Antioquia
297,05088,Antioquia
298,05086,Antioquia
299,05079,Antioquia
300,05059,Antioquia
301,05055,Antioquia
302,05051,Antioquia
303,05045,Antioquia
304,05044,Antioquia
305,05042,Antioquia
306,05040,Antioquia
307,05038,Antioquia
308,05036,Antioquia
309,05034,Antioquia
310,05031,Antioquia
311,05030,Antioquia
312,05021,Antioquia
313,05004,Antioquia
314,05002,Antioquia
315,05895,Antioquia
316,05893,Antioquia
317,05890,Antioquia
318,05887,Antioquia
319,05885,Antioquia
320,05861,Antioquia
321,05858,Antioquia
322,05856,Antioquia
323,05854,Antioquia
324,05842,Antioquia
325,05837,Antioquia
326,05819,Antioquia
327,05809,Antioquia
328,05792,Antioquia
329,05790,Antioquia
330,05789,Antioquia
331,05761,Antioquia
332,05756,Antioquia
333,05736,Antioquia
334,05697,Antioquia
