"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5002",-2.07732885175232,0.0806943029743854,-25.7431909711362,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000559827631705602,5002
"scaled_rainfall_deviation:factor(COD_MUNI)5004",-2.07152372434321,0.09072347339228,-22.8333820001151,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000269917156463322,5004
"scaled_rainfall_deviation:factor(COD_MUNI)5021",-2.08730520069031,0.0735203693832533,-28.390842132599,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000457637438815666,5021
"scaled_rainfall_deviation:factor(COD_MUNI)5030",-2.11594557648067,0.0814650806737729,-25.9736510291321,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145214322966181,5030
"scaled_rainfall_deviation:factor(COD_MUNI)5031",-2.21785568248895,0.0812685269112057,-27.2904624555603,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000885343997969029,5031
"scaled_rainfall_deviation:factor(COD_MUNI)5034",-2.21026813634831,0.0887490308426377,-24.9047016667413,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000920237615100085,5034
"scaled_rainfall_deviation:factor(COD_MUNI)5036",-2.14508681646763,0.0838960808650908,-25.5683792895766,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000494765611002221,5036
"scaled_rainfall_deviation:factor(COD_MUNI)5038",-2.04987377207018,0.0878959128753834,-23.3216051237381,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000344999140357903,5038
"scaled_rainfall_deviation:factor(COD_MUNI)5040",-2.19279516861645,0.0764795557353671,-28.6716514960405,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000153617512257449,5040
"scaled_rainfall_deviation:factor(COD_MUNI)5042",-2.2083418526785,0.100215905759702,-22.0358418749782,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159892832445222,5042
"scaled_rainfall_deviation:factor(COD_MUNI)5044",-2.08683708654965,0.092504394562301,-22.5593291694286,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000135831840221506,5044
"scaled_rainfall_deviation:factor(COD_MUNI)5045",-2.08370839002939,0.0769304588015418,-27.0856098155446,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000230718627762266,5045
"scaled_rainfall_deviation:factor(COD_MUNI)5051",-2.03599048558907,0.0987517633780159,-20.6172570083171,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022441167612848,5051
"scaled_rainfall_deviation:factor(COD_MUNI)5055",-2.08712569286665,0.0733024822788183,-28.4727832944036,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000446968896770683,5055
"scaled_rainfall_deviation:factor(COD_MUNI)5059",-2.09309852009985,0.0848832458919269,-24.6585589194454,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000409025364459154,5059
"scaled_rainfall_deviation:factor(COD_MUNI)5079",-2.09427677889281,0.0805681445195162,-25.99385639799,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000859388970594017,5079
"scaled_rainfall_deviation:factor(COD_MUNI)5086",-2.12581326945887,0.105293408161316,-20.1894240729866,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000139879174451695,5086
"scaled_rainfall_deviation:factor(COD_MUNI)5088",-2.41586617024121,0.0941436682041247,-25.6614833087136,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000456480207435871,5088
"scaled_rainfall_deviation:factor(COD_MUNI)5091",-2.1442730328375,0.0816254729959387,-26.2696552207935,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000641096396167351,5091
"scaled_rainfall_deviation:factor(COD_MUNI)5093",-2.15235100583932,0.0889940620898101,-24.185332765991,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000042567554056894,5093
"scaled_rainfall_deviation:factor(COD_MUNI)5101",-2.27201870097608,0.08116094310855,-27.993990877328,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000325378681220351,5101
"scaled_rainfall_deviation:factor(COD_MUNI)5107",-2.09401289438244,0.0808841542858458,-25.8890373877455,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130057626880776,5107
"scaled_rainfall_deviation:factor(COD_MUNI)5113",-2.12092008985013,0.101422616076909,-20.9117075844487,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000493755631670477,5113
"scaled_rainfall_deviation:factor(COD_MUNI)5120",-2.29382282318423,0.079096329037034,-29.0003701955653,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119275634177065,5120
"scaled_rainfall_deviation:factor(COD_MUNI)5125",-2.09717980526706,0.0964094041360101,-21.7528551707306,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000786696501236354,5125
"scaled_rainfall_deviation:factor(COD_MUNI)5129",-2.03123502672515,0.0810016934405404,-25.0764513734048,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012614269943573,5129
"scaled_rainfall_deviation:factor(COD_MUNI)5134",-2.0986873187367,0.0804573710291705,-26.0844630130383,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000813616372755713,5134
"scaled_rainfall_deviation:factor(COD_MUNI)5138",-2.10079854936727,0.0952301173387977,-22.0602327086641,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000933660058342209,5138
"scaled_rainfall_deviation:factor(COD_MUNI)5142",-2.08770075249493,0.0760783754267731,-27.4414475964248,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000142848738747911,5142
"scaled_rainfall_deviation:factor(COD_MUNI)5145",-2.07504729147904,0.0856126809911153,-24.2376160570697,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000120086129718712,5145
"scaled_rainfall_deviation:factor(COD_MUNI)5147",-2.08456843010576,0.074590773146293,-27.9467331169413,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000121798897976439,5147
"scaled_rainfall_deviation:factor(COD_MUNI)5148",-2.11327455478774,0.0749415936735187,-28.1989540280418,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103511463989771,5148
"scaled_rainfall_deviation:factor(COD_MUNI)5150",-2.0785013446332,0.0826691508264085,-25.1424058896856,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000241018255355496,5150
