"","Estimate","Std. Error","t-value","Pr(>|t|)","COD_MUNI"
"scaled_rainfall_deviation:factor(COD_MUNI)5002",-2.0773402149569,0.0806941687786595,-25.7433746006475,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000557190170638707,5002
"scaled_rainfall_deviation:factor(COD_MUNI)5004",-2.07152199554878,0.0907233220706854,-22.8334010292832,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000269800103260689,5004
"scaled_rainfall_deviation:factor(COD_MUNI)5021",-2.08723368543636,0.0735202643645444,-28.3899099585249,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000469892415654162,5021
"scaled_rainfall_deviation:factor(COD_MUNI)5030",-2.11593996470997,0.0814649448850505,-25.9736254372433,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000145310994720686,5030
"scaled_rainfall_deviation:factor(COD_MUNI)5031",-2.21768109382591,0.0812684863305209,-27.28832778805,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000938385979071434,5031
"scaled_rainfall_deviation:factor(COD_MUNI)5034",-2.21028394990109,0.088748883519664,-24.9049211916155,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000915223806424006,5034
"scaled_rainfall_deviation:factor(COD_MUNI)5036",-2.14510384479366,0.0838959417987015,-25.5686246414706,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000491674332915493,5036
"scaled_rainfall_deviation:factor(COD_MUNI)5038",-2.04972017181155,0.087895834233744,-23.3198784638721,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000035917458629056,5038
"scaled_rainfall_deviation:factor(COD_MUNI)5040",-2.19247932290676,0.0764797584716292,-28.6674456970217,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000173270465917253,5040
"scaled_rainfall_deviation:factor(COD_MUNI)5042",-2.20835492771875,0.100215739028033,-22.0360090055417,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000159304932523558,5042
"scaled_rainfall_deviation:factor(COD_MUNI)5044",-2.08692545263208,0.0925042616375416,-22.5603168512307,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132838181341484,5044
"scaled_rainfall_deviation:factor(COD_MUNI)5045",-2.08368218597687,0.0769303327390681,-27.0853135790312,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000232575514152408,5045
"scaled_rainfall_deviation:factor(COD_MUNI)5051",-2.03590244589407,0.0987516185324765,-20.6163957224106,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000228435852433336,5051
"scaled_rainfall_deviation:factor(COD_MUNI)5055",-2.08708903966653,0.073302364648784,-28.4723289578237,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000452780349652331,5055
"scaled_rainfall_deviation:factor(COD_MUNI)5059",-2.09307945583432,0.084883105387951,-24.6583751415323,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000410882766882367,5059
"scaled_rainfall_deviation:factor(COD_MUNI)5079",-2.09426417853723,0.0805680106280403,-25.9937432017015,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000861920395715798,5079
"scaled_rainfall_deviation:factor(COD_MUNI)5086",-2.12567060099226,0.105293281480008,-20.1880934007728,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143692009541368,5086
"scaled_rainfall_deviation:factor(COD_MUNI)5088",-2.41584068104341,0.0941435129167551,-25.66125488837,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000459162354713064,5088
"scaled_rainfall_deviation:factor(COD_MUNI)5091",-2.14426445535923,0.0816253370700324,-26.2695938825895,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000642130196352509,5091
"scaled_rainfall_deviation:factor(COD_MUNI)5093",-2.15240360455078,0.0889939215169167,-24.1859620057493,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000419248735191708,5093
"scaled_rainfall_deviation:factor(COD_MUNI)5101",-2.27202968603932,0.0811608081057542,-27.9941727918581,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000323728792646377,5101
"scaled_rainfall_deviation:factor(COD_MUNI)5107",-2.09368391834277,0.0808843581952933,-25.8849048821976,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144730145310953,5107
"scaled_rainfall_deviation:factor(COD_MUNI)5113",-2.12083355681868,0.101422465596177,-20.9108854172702,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000502324963108551,5113
"scaled_rainfall_deviation:factor(COD_MUNI)5120",-2.29351609230775,0.0790964983132159,-28.9964301987884,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000133686824663944,5120
"scaled_rainfall_deviation:factor(COD_MUNI)5125",-2.09728269240715,0.0964092711263371,-21.7539523730951,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000768133666302243,5125
"scaled_rainfall_deviation:factor(COD_MUNI)5129",-2.03123283304491,0.0810015583419162,-25.0764661152673,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012609624894553,5129
"scaled_rainfall_deviation:factor(COD_MUNI)5134",-2.09839325941834,0.0804575089790227,-26.0807634495054,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000895965133305128,5134
"scaled_rainfall_deviation:factor(COD_MUNI)5138",-2.10079934347366,0.0952299584932976,-22.0602778444087,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000932731165727065,5138
"scaled_rainfall_deviation:factor(COD_MUNI)5142",-2.08769202531521,0.0760782487788856,-27.441378565152,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000143119494454112,5142
"scaled_rainfall_deviation:factor(COD_MUNI)5145",-2.07505630254122,0.0856125384263307,-24.2377616723373,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000119663301182761,5145
"scaled_rainfall_deviation:factor(COD_MUNI)5147",-2.08455364271395,0.0745906494686211,-27.9465812077543,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000122316571653235,5147
"scaled_rainfall_deviation:factor(COD_MUNI)5148",-2.11326320091201,0.0749414691039035,-28.1988493978154,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000103817064896441,5148
"scaled_rainfall_deviation:factor(COD_MUNI)5150",-2.07842829966181,0.0826690292750888,-25.1415592742192,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000246200679570808,5150
"scaled_rainfall_deviation:factor(COD_MUNI)5154",-2.46103732089503,0.0808828376399206,-30.427188173729,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000499924815994792,5154
"scaled_rainfall_deviation:factor(COD_MUNI)5172",-2.08134661678204,0.0732764763801687,-28.4040215850953,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000314940973448057,5172
"scaled_rainfall_deviation:factor(COD_MUNI)5190",-2.09207346031695,0.0773732858901157,-27.0387051066706,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081982655693997,5190
"scaled_rainfall_deviation:factor(COD_MUNI)5197",-2.0822873189627,0.071069663035546,-29.2992428840028,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199291542104001,5197
"scaled_rainfall_deviation:factor(COD_MUNI)5206",-2.06169465529465,0.0782144415978781,-26.3595138337033,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006038763650104,5206
"scaled_rainfall_deviation:factor(COD_MUNI)5209",-2.1405861212545,0.0834707498313158,-25.6447453219285,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000701072967586044,5209
"scaled_rainfall_deviation:factor(COD_MUNI)5212",-2.1026668206924,0.0938567699741543,-22.4029318425449,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000457449607418412,5212
"scaled_rainfall_deviation:factor(COD_MUNI)5234",-2.03278352279922,0.0806493397120309,-25.2052097395657,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000496402873761113,5234
"scaled_rainfall_deviation:factor(COD_MUNI)5237",-2.06651724197278,0.0805616319901863,-25.6513825616705,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000591407153698096,5237
"scaled_rainfall_deviation:factor(COD_MUNI)5240",-2.09854646870412,0.0901866412359774,-23.2689280800821,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000117690324884145,5240
"scaled_rainfall_deviation:factor(COD_MUNI)5250",-2.32867431717243,0.0765634641732543,-30.4149549960659,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000724751469179174,5250
